Date,Dangote_cement,Mtn
10/04/2024,478.8,190.3
10/03/2024,478.8,190.3
10/02/2024,532,190
09/30/24,532,191
09/27/24,532,191
09/26/24,532,191
09/25/24,532,199.8
09/24/24,532,199.8
09/23/24,532,199.8
09/20/24,532,199.8
09/19/24,532,192
09/18/24,532,192
09/17/24,532,192.2
09/13/24,532,192.2
09/12/2024,532,192.5
09/11/2024,532,192.5
09/10/2024,532,192.5
09/09/2024,532,179
09/06/2024,532,179
09/05/2024,532,180
09/04/2024,532,180
09/03/2024,532,180
09/02/2024,532,180
08/30/24,532,180
08/29/24,532,184
08/28/24,532,184
08/27/24,532,199.8
08/26/24,532,199.8
08/23/24,532,199.8
08/22/24,532,199.8
08/21/24,532,199.8
08/20/24,532,199.8
08/19/24,532,199.8
08/16/24,591.1,199.8
08/15/24,591.1,199.8
08/14/24,591.1,199.8
08/13/24,591.1,199.8
08/12/2024,591.1,199.8
08/09/2024,591.1,199.8
08/08/2024,591.1,198
08/07/2024,591.1,180
08/06/2024,591.1,179.5
08/05/2024,591.1,178.7
08/02/2024,591.1,190
08/01/2024,591.1,190
07/31/24,591.1,200
07/30/24,591.1,200
07/29/24,591.1,200
07/26/24,591.1,200
07/25/24,656.7,200
07/24/24,656.7,200
07/23/24,656.7,200
07/22/24,656.7,200
07/19/24,656.7,200
07/18/24,656.7,196.1
07/17/24,656.7,196.1
07/16/24,656.7,203
07/15/24,656.7,203
07/12/2024,656.7,200
07/11/2024,656.7,200
07/10/2024,656.7,200
07/09/2024,656.7,200
07/08/2024,656.7,200
07/05/2024,656.7,200
07/04/2024,656.7,200
07/03/2024,656.7,214
07/02/2024,656.7,214
07/01/2024,656.7,214
06/28/24,656.7,214
06/27/24,656.7,200
06/26/24,656.7,214.8
06/25/24,656.7,214.8
06/24/24,656.7,214.8
06/21/24,656.7,214.8
06/20/24,656.7,214.8
06/19/24,656.7,214.8
06/14/24,656.7,220.7
06/13/24,656.7,220.7
06/11/2024,656.7,220.7
06/10/2024,656.7,230
06/07/2024,656.7,230
06/06/2024,656.7,230
06/05/2024,656.7,230
06/04/2024,656.7,230
06/03/2024,656.7,230
05/31/24,656.7,230
05/30/24,656.7,230.5
05/29/24,656.7,230.5
05/28/24,656.7,230.5
05/27/24,656.7,230.5
05/24/24,656.7,230.5
05/23/24,656.7,230.5
05/22/24,656.7,230.5
